<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сургнфгз-п;D;20020108;000000;6.39;6.68;6.39;6.63;2495200;0
Сургнфгз-п;D;20020109;000000;6.521;6.73;6.471;6.66;1339100;0
Сургнфгз-п;D;20020110;000000;6.522;7;6.522;6.73;2089300;0
Сургнфгз-п;D;20020111;000000;6.66;6.75;6.575;6.65;2845600;0
Сургнфгз-п;D;20020114;000000;8.435;8.435;6.322;6.331;636500;0
Сургнфгз-п;D;20020115;000000;6.28;6.375;5.901;6.32;4127800;0
Сургнфгз-п;D;20020116;000000;6.275;6.397;6.2;6.32;2828200;0
Сургнфгз-п;D;20020117;000000;6.3;6.666;6.222;6.58;2368700;0
Сургнфгз-п;D;20020118;000000;6.5;6.7;6.353;6.4;2224800;0
Сургнфгз-п;D;20020121;000000;6.48;6.599;6.35;6.45;592600;0
Сургнфгз-п;D;20020122;000000;6.48;6.7;6.44;6.67;2537600;0
Сургнфгз-п;D;20020123;000000;6.6;6.63;6.41;6.41;843800;0
Сургнфгз-п;D;20020124;000000;6.505;6.505;6.12;6.16;2739800;0
Сургнфгз-п;D;20020125;000000;6.339;6.339;6.05;6.14;2312300;0
Сургнфгз-п;D;20020128;000000;6.139;6.3;6.102;6.3;1238400;0
Сургнфгз-п;D;20020129;000000;6.37;6.529;6.3;6.51;4464100;0
Сургнфгз-п;D;20020130;000000;6.35;6.367;6.27;6.34;3212200;0
Сургнфгз-п;D;20020131;000000;6.599;6.599;6.355;6.48;2492900;0
Сургнфгз-п;D;20020201;000000;6.51;6.62;6.51;6.605;2375700;0
Сургнфгз-п;D;20020204;000000;6.6;6.735;6.5;6.72;6120500;0
Сургнфгз-п;D;20020205;000000;6.658;6.719;6.55;6.585;2171800;0
Сургнфгз-п;D;20020206;000000;6.601;6.69;6.504;6.62;1550600;0
Сургнфгз-п;D;20020207;000000;6.6;6.72;6.6;6.7;1291300;0
Сургнфгз-п;D;20020208;000000;6.7;6.79;6.7;6.75;2920000;0
Сургнфгз-п;D;20020211;000000;6.75;6.99;6.75;6.8;3397200;0
Сургнфгз-п;D;20020212;000000;6.85;7.165;6.85;7.033;5820700;0
Сургнфгз-п;D;20020213;000000;6.929;6.95;6.77;6.85;3444900;0
Сургнфгз-п;D;20020214;000000;6.8;6.929;6.7;6.837;1985600;0
Сургнфгз-п;D;20020215;000000;6.901;6.93;6.855;6.88;715900;0
Сургнфгз-п;D;20020218;000000;6.82;6.85;6.79;6.85;993600;0
Сургнфгз-п;D;20020219;000000;6.8;6.9;6.75;6.78;997800;0
Сургнфгз-п;D;20020220;000000;8.41;8.41;6.57;6.635;1616900;0
Сургнфгз-п;D;20020221;000000;6.65;6.74;6.585;6.63;1868100;0
Сургнфгз-п;D;20020222;000000;6.59;6.7;6.408;6.7;2488100;0
Сургнфгз-п;D;20020226;000000;6.72;6.851;6.6;6.64;3018200;0
Сургнфгз-п;D;20020227;000000;6.575;6.64;6.331;6.35;1044900;0
Сургнфгз-п;D;20020228;000000;6.33;6.4;6.18;6.27;2010700;0
Сургнфгз-п;D;20020301;000000;6.26;6.73;6.25;6.73;1957600;0
Сургнфгз-п;D;20020304;000000;7.12;7.12;6.72;6.781;1552100;0
Сургнфгз-п;D;20020305;000000;6.8;6.95;6.75;6.949;2396500;0
Сургнфгз-п;D;20020306;000000;6.929;6.969;6.8;6.924;880900;0
Сургнфгз-п;D;20020307;000000;6.924;7.23;6.924;7.149;3289700;0
Сургнфгз-п;D;20020311;000000;7.199;7.199;6.96;6.999;1317900;0
Сургнфгз-п;D;20020312;000000;7.119;7.119;6.755;6.82;1158000;0
Сургнфгз-п;D;20020313;000000;6.89;6.969;6.803;6.889;808600;0
Сургнфгз-п;D;20020314;000000;6.85;7.21;6.85;7.125;1669500;0
Сургнфгз-п;D;20020315;000000;7.188;7.29;7.171;7.2;2068000;0
Сургнфгз-п;D;20020318;000000;7.34;7.45;7.27;7.35;1314200;0
Сургнфгз-п;D;20020319;000000;7.37;7.448;7.06;7.16;1918600;0
Сургнфгз-п;D;20020320;000000;7.013;7.17;7.013;7.07;935800;0
Сургнфгз-п;D;20020321;000000;7.05;7.2;6.911;7.137;1189800;0
Сургнфгз-п;D;20020322;000000;7.1;7.244;7.1;7.17;1752300;0
Сургнфгз-п;D;20020325;000000;7.18;7.18;6.95;6.95;463400;0
Сургнфгз-п;D;20020326;000000;6.99;7.149;6.972;6.98;245300;0
Сургнфгз-п;D;20020327;000000;7;7.05;6.7;6.748;1891300;0
Сургнфгз-п;D;20020328;000000;6.8;6.899;6.73;6.84;1638500;0
Сургнфгз-п;D;20020329;000000;6.665;6.93;6.665;6.89;1081000;0
Сургнфгз-п;D;20020401;000000;6.85;6.855;6.779;6.797;306200;0
Сургнфгз-п;D;20020402;000000;6.8;6.888;6.5;6.68;2713000;0
Сургнфгз-п;D;20020403;000000;6.68;6.71;6.525;6.56;1396700;0
Сургнфгз-п;D;20020404;000000;6.422;6.539;6.42;6.5;1738100;0
Сургнфгз-п;D;20020405;000000;6.45;6.596;6.45;6.53;862600;0
Сургнфгз-п;D;20020408;000000;6.53;6.614;6.5;6.531;564000;0
Сургнфгз-п;D;20020409;000000;6.64;6.85;6.64;6.78;2863300;0
Сургнфгз-п;D;20020410;000000;6.7;6.83;6.7;6.799;1169400;0
Сургнфгз-п;D;20020411;000000;6.751;6.78;6.555;6.6;2061000;0
Сургнфгз-п;D;20020412;000000;6.62;6.64;6.521;6.625;1135900;0
Сургнфгз-п;D;20020415;000000;6.66;6.8;6.6;6.63;1309900;0
Сургнфгз-п;D;20020416;000000;6.779;6.8;6.667;6.7;1192700;0
Сургнфгз-п;D;20020417;000000;6.728;6.8;6.67;6.685;766600;0
Сургнфгз-п;D;20020418;000000;6.71;6.87;6.71;6.771;2313300;0
Сургнфгз-п;D;20020419;000000;6.8;6.88;6.74;6.82;1673500;0
Сургнфгз-п;D;20020422;000000;6.8;6.92;6.66;6.66;909400;0
Сургнфгз-п;D;20020423;000000;6.7;6.83;6.61;6.771;1064100;0
Сургнфгз-п;D;20020424;000000;6.7;6.842;6.7;6.8;832100;0
Сургнфгз-п;D;20020425;000000;6.8;6.9;6.74;6.77;883600;0
Сургнфгз-п;D;20020426;000000;6.751;7.09;6.7;7.045;3567100;0
Сургнфгз-п;D;20020427;000000;7.22;7.22;6.926;6.95;885000;0
Сургнфгз-п;D;20020429;000000;7;7.03;6.775;6.85;2612500;0
Сургнфгз-п;D;20020430;000000;6.85;6.85;6.715;6.789;501000;0
Сургнфгз-п;D;20020506;000000;6.75;6.8;6.67;6.67;296600;0
Сургнфгз-п;D;20020507;000000;6.7;6.7;6.45;6.51;1481200;0
Сургнфгз-п;D;20020508;000000;6.55;6.69;6.506;6.69;1307100;0
Сургнфгз-п;D;20020513;000000;6.65;6.799;6.525;6.79;1429100;0
Сургнфгз-п;D;20020514;000000;6.801;7.1;6.8;7.06;3671400;0
Сургнфгз-п;D;20020515;000000;7.1;7.279;7.05;7.089;2933000;0
Сургнфгз-п;D;20020516;000000;7.05;7.188;6.961;7.081;1029900;0
Сургнфгз-п;D;20020517;000000;7.12;7.39;7.09;7.35;5547500;0
Сургнфгз-п;D;20020518;000000;7.35;7.5;7.25;7.4;2862800;0
Сургнфгз-п;D;20020520;000000;7.4;7.749;7.251;7.56;5825300;0
Сургнфгз-п;D;20020521;000000;7.525;7.619;7.451;7.59;1786900;0
Сургнфгз-п;D;20020522;000000;7.501;7.55;7.421;7.52;1451700;0
Сургнфгз-п;D;20020523;000000;7.48;8.07;7.48;7.64;5112700;0
Сургнфгз-п;D;20020524;000000;7.581;7.6;7.36;7.45;3068700;0
Сургнфгз-п;D;20020527;000000;7.45;7.65;7.37;7.6;1381500;0
Сургнфгз-п;D;20020528;000000;7.6;7.809;7.07;7.224;1315900;0
Сургнфгз-п;D;20020529;000000;7.25;7.344;7.02;7.289;2877100;0
Сургнфгз-п;D;20020530;000000;7.29;7.6;7.12;7.3;2734600;0
Сургнфгз-п;D;20020531;000000;7.1;7.58;7.1;7.52;1621100;0
