<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВТБ ао;D;20070528;000000;0.1564;0.2415;0.1564;0.2415;11086000;0
ВТБ ао;D;20070917;000000;0.1076;0.1082;0.1044;0.1046;10601424000;0
ВТБ ао;D;20070918;000000;0.1042;0.1098;0.1037;0.1072;19873262000;0
ВТБ ао;D;20070919;000000;0.11;0.1137;0.1096;0.1136;27012645000;0
ВТБ ао;D;20070920;000000;0.1135;0.1195;0.111;0.1176;29607680000;0
ВТБ ао;D;20070921;000000;0.117;0.1222;0.1165;0.1213;39750354000;0
ВТБ ао;D;20070924;000000;0.1224;0.1261;0.1217;0.124;37171854000;0
ВТБ ао;D;20070925;000000;0.1236;0.1255;0.1187;0.1191;30329766000;0
ВТБ ао;D;20070926;000000;0.1208;0.123;0.1203;0.1226;23425686000;0
ВТБ ао;D;20070927;000000;0.1235;0.1242;0.1171;0.119;41323317000;0
ВТБ ао;D;20070928;000000;0.1177;0.1185;0.1145;0.1149;32661927000;0
ВТБ ао;D;20071001;000000;0.1142;0.1142;0.1104;0.1123;20169748000;0
ВТБ ао;D;20071002;000000;0.1145;0.1164;0.1143;0.1151;24267744000;0
ВТБ ао;D;20071003;000000;0.1151;0.1163;0.1133;0.1139;19145299000;0
ВТБ ао;D;20071004;000000;0.1133;0.1146;0.113;0.1134;7901341000;0
ВТБ ао;D;20071005;000000;0.1145;0.117;0.1142;0.1168;24411341000;0
ВТБ ао;D;20071008;000000;0.1175;0.1188;0.116;0.118;14224378000;0
ВТБ ао;D;20071009;000000;0.118;0.1207;0.1168;0.1203;16886288000;0
ВТБ ао;D;20071010;000000;0.121;0.1212;0.1177;0.1178;18130332000;0
ВТБ ао;D;20071011;000000;0.1185;0.1196;0.1179;0.1191;12629640000;0
ВТБ ао;D;20071012;000000;0.1178;0.1186;0.116;0.118;15515901000;0
ВТБ ао;D;20071015;000000;0.1185;0.121;0.1177;0.1183;16538880000;0
ВТБ ао;D;20071016;000000;0.1173;0.1179;0.115;0.1155;32013162000;0
ВТБ ао;D;20071017;000000;0.115;0.1164;0.114;0.1158;21651586000;0
ВТБ ао;D;20071018;000000;0.116;0.1162;0.1144;0.1157;14798546000;0
ВТБ ао;D;20071019;000000;0.1154;0.1174;0.1153;0.1161;14379249000;0
ВТБ ао;D;20071022;000000;0.1145;0.1158;0.1137;0.1155;7824221000;0
ВТБ ао;D;20071023;000000;0.1168;0.1171;0.1164;0.1168;6779251000;0
ВТБ ао;D;20071024;000000;0.1167;0.1184;0.1155;0.117;14714445000;0
ВТБ ао;D;20071025;000000;0.1177;0.1181;0.1168;0.1171;7949440000;0
ВТБ ао;D;20071026;000000;0.1177;0.1187;0.117;0.1182;14635730000;0
ВТБ ао;D;20071029;000000;0.119;0.1202;0.1184;0.1191;12518353000;0
ВТБ ао;D;20071030;000000;0.1191;0.1191;0.1172;0.1179;8294839000;0
ВТБ ао;D;20071031;000000;0.1175;0.1194;0.1175;0.1193;10475242000;0
ВТБ ао;D;20071101;000000;0.12;0.1203;0.1172;0.1183;13034529000;0
ВТБ ао;D;20071102;000000;0.117;0.1195;0.1165;0.1192;10231680000;0
ВТБ ао;D;20071106;000000;0.1186;0.1224;0.1184;0.1213;17673635000;0
ВТБ ао;D;20071107;000000;0.1216;0.1221;0.1191;0.1202;13959794000;0
ВТБ ао;D;20071108;000000;0.1185;0.1202;0.1185;0.1197;8291608000;0
ВТБ ао;D;20071109;000000;0.12;0.1201;0.1167;0.117;11050871000;0
ВТБ ао;D;20071112;000000;0.1165;0.1183;0.1154;0.1164;11531967000;0
ВТБ ао;D;20071113;000000;0.1164;0.1168;0.1149;0.1156;12617391000;0
ВТБ ао;D;20071114;000000;0.1168;0.1173;0.1145;0.1152;13401666000;0
ВТБ ао;D;20071115;000000;0.115;0.1153;0.1134;0.1139;14517128000;0
