<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Аэрофлот;D;20040213;000000;23.6;23.9;23.51;23.74;29866;0
Аэрофлот;D;20040216;000000;23.57;23.84;23.47;23.5;46930;0
Аэрофлот;D;20040217;000000;23.57;24.5;23.57;24.5;208507;0
Аэрофлот;D;20040218;000000;24.4;25.3;23.81;25;294038;0
Аэрофлот;D;20040219;000000;25;25.14;24.85;25.13;72028;0
Аэрофлот;D;20040220;000000;25;25.39;24.8;25.39;189778;0
Аэрофлот;D;20040224;000000;25.3;27.39;25.25;26.8;424578;0
Аэрофлот;D;20040225;000000;27.3;27.85;26.5;26.95;100912;0
Аэрофлот;D;20040226;000000;26.96;26.96;26.5;26.5;26936;0
Аэрофлот;D;20040227;000000;27;27;25.92;26.15;143520;0
Аэрофлот;D;20040301;000000;26.6;26.99;26.15;26.56;183527;0
Аэрофлот;D;20040302;000000;26.5;26.69;25;25.7;331156;0
Аэрофлот;D;20040303;000000;25.7;26.4;25.01;25.9;130555;0
Аэрофлот;D;20040304;000000;26;26.7;25.3;26.3;189965;0
Аэрофлот;D;20040305;000000;26.29;26.5;25.63;26.44;144484;0
Аэрофлот;D;20040309;000000;26.44;26.9;26.44;26.7;107806;0
Аэрофлот;D;20040310;000000;26.7;26.85;26.2;26.4;115953;0
Аэрофлот;D;20040311;000000;26.25;26.25;25.06;25.71;48450;0
Аэрофлот;D;20040312;000000;25.71;26.2;25.35;26.11;82716;0
Аэрофлот;D;20040315;000000;26;26.5;25.81;25.81;17531;0
Аэрофлот;D;20040316;000000;26;26.35;25.61;26.35;279182;0
Аэрофлот;D;20040317;000000;26.4;26.72;26;26.5;44952;0
Аэрофлот;D;20040318;000000;26.5;26.84;26.25;26.39;72660;0
Аэрофлот;D;20040319;000000;26.61;26.61;26;26.29;58581;0
Аэрофлот;D;20040322;000000;26.29;26.5;25.71;26.35;497061;0
Аэрофлот;D;20040323;000000;26.45;26.59;25.91;26.5;138896;0
Аэрофлот;D;20040324;000000;26.49;26.84;26.21;26.3;209812;0
Аэрофлот;D;20040325;000000;26.4;26.6;26.3;26.5;61211;0
Аэрофлот;D;20040326;000000;26.55;26.55;26.23;26.4;37061;0
Аэрофлот;D;20040329;000000;26.48;26.48;26;26;34673;0
Аэрофлот;D;20040330;000000;26.1;26.5;26;26.45;233437;0
Аэрофлот;D;20040331;000000;26.25;26.55;26.2;26.37;88703;0
Аэрофлот;D;20040401;000000;26.47;26.7;26.4;26.41;153452;0
Аэрофлот;D;20040402;000000;26.64;27.3;26.57;27.3;293032;0
Аэрофлот;D;20040405;000000;27.48;28;27.4;27.46;217734;0
Аэрофлот;D;20040406;000000;27.51;28.39;27.51;28.35;348969;0
Аэрофлот;D;20040407;000000;28.31;29.14;28.06;29;192923;0
Аэрофлот;D;20040408;000000;29;29.65;28.5;29.25;202333;0
Аэрофлот;D;20040409;000000;29.25;29.54;28.5;29;75109;0
Аэрофлот;D;20040412;000000;29.01;29.46;28.8;29.2;69135;0
Аэрофлот;D;20040413;000000;29.1;29.7;27;27.89;161198;0
Аэрофлот;D;20040414;000000;27.85;29;27.6;28.68;299323;0
Аэрофлот;D;20040415;000000;29.2;29.5;28.69;29.1;158739;0
Аэрофлот;D;20040416;000000;29.01;29.27;28.69;28.7;113137;0
Аэрофлот;D;20040419;000000;28.4;29.09;28.4;29;148126;0
Аэрофлот;D;20040420;000000;28.6;29.09;27.25;29;377547;0
Аэрофлот;D;20040421;000000;29.1;29.1;25.27;28.9;420018;0
Аэрофлот;D;20040422;000000;28.6;29;28.6;29;243040;0
Аэрофлот;D;20040423;000000;29;29.15;28.5;29.07;124159;0
Аэрофлот;D;20040426;000000;28.99;28.99;28.85;28.95;34198;0
Аэрофлот;D;20040427;000000;28.7;29;28;29;37067;0
Аэрофлот;D;20040428;000000;29.09;29.17;28;29.12;97957;0
Аэрофлот;D;20040429;000000;28.7;29;27.9;28.97;51682;0
Аэрофлот;D;20040430;000000;28.12;28.9;28.12;28.7;35152;0
Аэрофлот;D;20040505;000000;29;29.05;28.7;29;22490;0
Аэрофлот;D;20040506;000000;28.51;29.07;28.51;29.07;85338;0
Аэрофлот;D;20040507;000000;29;30.01;29;29.9;176396;0
Аэрофлот;D;20040511;000000;29.9;31.7;28;30;114791;0
Аэрофлот;D;20040512;000000;30;30.1;29.56;29.8;9271;0
Аэрофлот;D;20040513;000000;29.85;29.95;29.3;29.31;18630;0
Аэрофлот;D;20040514;000000;29.31;29.55;29.13;29.43;15270;0
Аэрофлот;D;20040517;000000;29.43;29.59;29.05;29.59;90507;0
Аэрофлот;D;20040518;000000;29.95;29.98;29.52;29.65;16014;0
Аэрофлот;D;20040519;000000;29.87;30.05;29.77;29.86;36674;0
Аэрофлот;D;20040520;000000;30;30;29.51;29.59;16362;0
Аэрофлот;D;20040521;000000;29.6;30.1;29.56;30;175104;0
Аэрофлот;D;20040524;000000;30.12;30.9;30.12;30.23;106781;0
Аэрофлот;D;20040525;000000;30.23;30.4;29;29.5;40289;0
Аэрофлот;D;20040526;000000;29.01;29.8;29;29.7;31786;0
Аэрофлот;D;20040527;000000;29.6;29.7;29.5;29.5;51351;0
Аэрофлот;D;20040528;000000;29.49;29.52;29;29.44;55558;0
Аэрофлот;D;20040531;000000;29.47;29.47;29.2;29.44;13626;0
Аэрофлот;D;20040601;000000;29.4;29.43;28.62;29.4;54751;0
Аэрофлот;D;20040602;000000;29;29.75;28.89;29.6;58033;0
Аэрофлот;D;20040603;000000;29.5;29.73;29.4;29.4;9362;0
Аэрофлот;D;20040604;000000;29.45;29.63;29.41;29.55;110983;0
Аэрофлот;D;20040607;000000;29;29.64;29;29.64;5871;0
Аэрофлот;D;20040608;000000;29.83;29.87;29.6;29.85;22580;0
Аэрофлот;D;20040609;000000;29.8;29.8;29.54;29.55;561;0
Аэрофлот;D;20040610;000000;29.4;29.5;29.4;29.4;7444;0
Аэрофлот;D;20040611;000000;29.2;29.77;29;29.77;14818;0
Аэрофлот;D;20040615;000000;28.04;29.81;28;29.6;73730;0
Аэрофлот;D;20040616;000000;29.77;29.77;29.4;29.65;10632;0
Аэрофлот;D;20040617;000000;29.7;29.7;29.4;29.7;9002;0
Аэрофлот;D;20040618;000000;29.7;29.8;29.5;29.6;13903;0
Аэрофлот;D;20040621;000000;29.7;29.7;29;29.5;31519;0
Аэрофлот;D;20040622;000000;29.6;29.6;29.4;29.6;27322;0
Аэрофлот;D;20040623;000000;29.4;29.55;29.3;29.45;53711;0
Аэрофлот;D;20040624;000000;29.5;29.7;29.4;29.7;106644;0
Аэрофлот;D;20040625;000000;29.57;29.6;29.5;29.5;101918;0
Аэрофлот;D;20040628;000000;29.5;29.57;29.3;29.4;5035;0
Аэрофлот;D;20040629;000000;29.3;30;29.3;29.45;53178;0
Аэрофлот;D;20040630;000000;29.41;29.5;29.33;29.4;59249;0
Аэрофлот;D;20040701;000000;29.45;29.65;29.29;29.3;71731;0
Аэрофлот;D;20040702;000000;29.05;29.4;28.51;29.4;27628;0
Аэрофлот;D;20040705;000000;29;29.29;29;29.2;5671;0
Аэрофлот;D;20040706;000000;29.3;29.5;29;29;80973;0
Аэрофлот;D;20040707;000000;29;29.71;29;29.35;69685;0
Аэрофлот;D;20040708;000000;29.55;29.55;29.3;29.5;6505;0
Аэрофлот;D;20040709;000000;29.3;29.3;29.3;29.3;15144;0
Аэрофлот;D;20040712;000000;29.4;29.6;29.4;29.6;1216;0
Аэрофлот;D;20040713;000000;29.52;29.9;29.52;29.9;12264;0
Аэрофлот;D;20040714;000000;29.97;30.1;29.74;29.74;3001;0
Аэрофлот;D;20040715;000000;29.44;29.8;29.44;29.79;36;0
Аэрофлот;D;20040716;000000;29.6;29.8;29.55;29.6;5738;0
Аэрофлот;D;20040719;000000;30;30;29.41;29.46;1980;0
Аэрофлот;D;20040720;000000;29.6;29.6;29.42;29.6;13438;0
Аэрофлот;D;20040721;000000;29.6;29.6;29.4;29.4;2325;0
Аэрофлот;D;20040722;000000;29.4;29.6;29.4;29.4;9227;0
Аэрофлот;D;20040723;000000;29.45;29.59;29.4;29.51;13080;0
Аэрофлот;D;20040726;000000;29.68;30;29.6;29.9;44013;0
Аэрофлот;D;20040727;000000;29.8;30;29.39;29.4;29809;0
Аэрофлот;D;20040728;000000;29.4;29.89;29.1;29.4;64279;0
Аэрофлот;D;20040729;000000;29.4;29.5;29.2;29.4;34312;0
Аэрофлот;D;20040730;000000;29.5;29.8;29.41;29.45;6094;0
Аэрофлот;D;20040802;000000;29.72;29.72;29.4;29.4;29869;0
Аэрофлот;D;20040803;000000;29.82;29.82;29.6;29.7;20308;0
Аэрофлот;D;20040804;000000;29.7;29.7;29.2;29.3;26569;0
Аэрофлот;D;20040805;000000;29.4;29.74;29.4;29.65;58484;0
Аэрофлот;D;20040806;000000;29.23;29.64;26.5;29.2;7126;0
Аэрофлот;D;20040809;000000;29.35;29.35;29.2;29.2;15566;0
Аэрофлот;D;20040810;000000;29.33;29.4;29.1;29.2;6454;0
Аэрофлот;D;20040811;000000;29.1;29.3;29;29.1;5452;0
Аэрофлот;D;20040812;000000;29;29.49;29;29.29;11694;0
Аэрофлот;D;20040813;000000;29.2;33.2;29;33;1014733;0
Аэрофлот;D;20040816;000000;32.9;34.8;31;31.3;159549;0
Аэрофлот;D;20040817;000000;31.72;32;31.2;31.21;129955;0
Аэрофлот;D;20040818;000000;31.52;32.5;30.5;30.8;36586;0
Аэрофлот;D;20040819;000000;30.8;30.88;30.25;30.3;14845;0
Аэрофлот;D;20040820;000000;30.94;30.94;29.81;29.86;17598;0
Аэрофлот;D;20040823;000000;30.16;30.75;29.82;30;54052;0
Аэрофлот;D;20040824;000000;30.5;30.6;29.85;30.5;39671;0
Аэрофлот;D;20040825;000000;30.77;30.77;29.65;30;4340;0
Аэрофлот;D;20040826;000000;30.3;30.3;29.86;29.86;14959;0
Аэрофлот;D;20040827;000000;30;30.2;29.8;29.95;173377;0
Аэрофлот;D;20040830;000000;30.25;30.25;28;29.85;35977;0
Аэрофлот;D;20040831;000000;29.85;30.45;29.65;29.81;24924;0
Аэрофлот;D;20040901;000000;30.33;30.58;29.31;30.29;143425;0
Аэрофлот;D;20040902;000000;30.84;30.84;29.99;30;240619;0
Аэрофлот;D;20040903;000000;30.28;30.86;29.4;30.39;40016;0
Аэрофлот;D;20040906;000000;30.5;30.5;29.72;30;55477;0
Аэрофлот;D;20040907;000000;30.29;30.3;29.88;30.1;45005;0
Аэрофлот;D;20040908;000000;30;30.28;29.86;30.22;138909;0
Аэрофлот;D;20040909;000000;30.14;30.19;29.81;30;6497;0
Аэрофлот;D;20040910;000000;30.05;30.05;29.82;30;7853;0
Аэрофлот;D;20040913;000000;29.99;30.1;29.99;30.09;22849;0
Аэрофлот;D;20040914;000000;30.09;30.1;29.8;29.91;13906;0
Аэрофлот;D;20040915;000000;29.88;30.05;29.52;29.6;33108;0
Аэрофлот;D;20040916;000000;29.99;29.99;29.01;29.68;27997;0
Аэрофлот;D;20040917;000000;29.91;29.99;29.36;29.5;14393;0
Аэрофлот;D;20040920;000000;29.85;30.15;29.37;29.81;110847;0
Аэрофлот;D;20040921;000000;30.06;30.99;29.6;29.99;82727;0
Аэрофлот;D;20040922;000000;31.45;31.45;29.65;29.93;18937;0
Аэрофлот;D;20040923;000000;30;30.21;29.86;30.1;25948;0
Аэрофлот;D;20040924;000000;30.18;30.5;29.87;30.05;52964;0
Аэрофлот;D;20040927;000000;29.74;30.35;29.74;30.24;29239;0
Аэрофлот;D;20040928;000000;30.29;30.3;29.9;29.9;61887;0
Аэрофлот;D;20040929;000000;30.18;30.24;29.95;30;12960;0
Аэрофлот;D;20040930;000000;30.1;30.3;29.97;29.97;24624;0
Аэрофлот;D;20041001;000000;29.96;30.3;29.95;30;35100;0
Аэрофлот;D;20041004;000000;30.17;31.2;30.02;30.88;500255;0
Аэрофлот;D;20041005;000000;31;31.1;30;30.86;660126;0
Аэрофлот;D;20041006;000000;31;31.5;30.28;31.25;192551;0
Аэрофлот;D;20041007;000000;31.5;31.5;30.7;30.8;399278;0
Аэрофлот;D;20041008;000000;30.86;31.45;30.86;31;198256;0
Аэрофлот;D;20041011;000000;31.14;31.38;31;31.02;154459;0
Аэрофлот;D;20041012;000000;31.02;31.35;30.81;31.25;847951;0
Аэрофлот;D;20041013;000000;31.2;31.4;30.9;31.4;49152;0
