<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЛУКОЙЛ;D;20020108;000000;403.15;426.48;403.15;420;1385900;0
ЛУКОЙЛ;D;20020109;000000;369.5;433.35;369.5;426.61;1476737;0
ЛУКОЙЛ;D;20020110;000000;424.1;431.3;420.01;426;1566808;0
ЛУКОЙЛ;D;20020111;000000;425;431.7;423;428.01;808508;0
ЛУКОЙЛ;D;20020114;000000;424.9;424.9;415.5;418;824284;0
ЛУКОЙЛ;D;20020115;000000;411.75;421.99;409;421.9;1054812;0
ЛУКОЙЛ;D;20020116;000000;418.05;424.5;415.55;418.5;720254;0
ЛУКОЙЛ;D;20020117;000000;417.25;439;417.25;439;1301068;0
ЛУКОЙЛ;D;20020118;000000;452;458.5;440.5;450;1903013;0
ЛУКОЙЛ;D;20020121;000000;401.5;461;401.5;457.2;1053452;0
ЛУКОЙЛ;D;20020122;000000;457;476.5;457;474.5;1392017;0
ЛУКОЙЛ;D;20020123;000000;473.75;479.5;469.4;472.5;1449867;0
ЛУКОЙЛ;D;20020124;000000;469.9;470.8;438.5;442.02;2072094;0
ЛУКОЙЛ;D;20020125;000000;445;445;423;426;1572508;0
ЛУКОЙЛ;D;20020128;000000;425.03;440.9;422;439;1343693;0
ЛУКОЙЛ;D;20020129;000000;441.25;456.5;439.01;451.01;1582358;0
ЛУКОЙЛ;D;20020130;000000;443.9;443.9;419.1;428.1;1509338;0
ЛУКОЙЛ;D;20020131;000000;436.25;441.94;429.5;432;850406;0
ЛУКОЙЛ;D;20020201;000000;438.98;442;426.25;428;579832;0
ЛУКОЙЛ;D;20020204;000000;430.01;431.5;419.1;427.5;597295;0
ЛУКОЙЛ;D;20020205;000000;420;430.98;416.25;429.95;1030918;0
ЛУКОЙЛ;D;20020206;000000;432;442.75;423.5;437.9;1704838;0
ЛУКОЙЛ;D;20020207;000000;435;450;431.2;443.5;1121731;0
ЛУКОЙЛ;D;20020208;000000;442.63;449;438.1;438.7;674778;0
ЛУКОЙЛ;D;20020211;000000;445.25;448;438;438.01;963141;0
ЛУКОЙЛ;D;20020212;000000;448;452.7;442.01;445;1240144;0
ЛУКОЙЛ;D;20020213;000000;445.17;446.5;433.5;438.5;939917;0
ЛУКОЙЛ;D;20020214;000000;422.78;426.85;410;417.99;1714804;0
ЛУКОЙЛ;D;20020215;000000;417;419;404.8;405;940729;0
ЛУКОЙЛ;D;20020218;000000;400.05;402.5;389;394.3;892584;0
ЛУКОЙЛ;D;20020219;000000;393.7;399.95;387;389.4;721367;0
ЛУКОЙЛ;D;20020220;000000;383;385;375;383.49;1047270;0
ЛУКОЙЛ;D;20020221;000000;385.1;390;381.15;387.52;726118;0
ЛУКОЙЛ;D;20020222;000000;387.93;403.48;384;400.6;1029839;0
ЛУКОЙЛ;D;20020226;000000;400.31;406;388.01;391;773923;0
ЛУКОЙЛ;D;20020227;000000;394;395.99;382.53;388.5;572280;0
ЛУКОЙЛ;D;20020228;000000;390;390;373;375.2;778947;0
ЛУКОЙЛ;D;20020301;000000;374.7;394.5;374.1;393.9;833495;0
ЛУКОЙЛ;D;20020304;000000;404;410;399;399.4;1033894;0
ЛУКОЙЛ;D;20020305;000000;403.05;406.99;394;403.5;858846;0
ЛУКОЙЛ;D;20020306;000000;404;405.98;398.6;404;652985;0
ЛУКОЙЛ;D;20020307;000000;409;416.5;408.25;413.45;1093162;0
ЛУКОЙЛ;D;20020311;000000;366.05;415;366.05;399.54;761158;0
