<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Магнит ао;D;20060516;000000;810;810;730;730;600;0
Магнит ао;D;20060607;000000;638;641;633;636;2000;0
Магнит ао;D;20060608;000000;635.26;644;630.13;644;900;0
Магнит ао;D;20060614;000000;600;600;595;597;3100;0
Магнит ао;D;20060615;000000;595;620;595;597;6500;0
Магнит ао;D;20060616;000000;540.13;545;540.13;545;800;0
Магнит ао;D;20060619;000000;560;561;555;555;1600;0
Магнит ао;D;20060628;000000;560;595;560;595;400;0
Магнит ао;D;20060629;000000;608;608;608;608;200;0
Магнит ао;D;20060630;000000;608;608;608;608;4200;0
Магнит ао;D;20060703;000000;604.5;604.5;604.5;604.5;500;0
Магнит ао;D;20060704;000000;650;665.9;650;665.9;1700;0
Магнит ао;D;20060706;000000;642;642;642;642;500;0
Магнит ао;D;20060710;000000;650;650;650;650;200;0
Магнит ао;D;20060711;000000;660;660;660;660;400;0
Магнит ао;D;20060712;000000;680;700;680;700;1100;0
Магнит ао;D;20060717;000000;680;690;680;690;2000;0
Магнит ао;D;20060718;000000;680;690;680;690;1400;0
Магнит ао;D;20060719;000000;695.3;695.3;695.3;695.3;200;0
Магнит ао;D;20060720;000000;705;705;705;705;300;0
Магнит ао;D;20060721;000000;720;720;720;720;500;0
Магнит ао;D;20060728;000000;711;730;705;730;700;0
Магнит ао;D;20060801;000000;720;720;720;720;600;0
Магнит ао;D;20060803;000000;724;724;711;724;300;0
Магнит ао;D;20060804;000000;738;739;738;739;2000;0
Магнит ао;D;20060808;000000;739;739;738;738;800;0
Магнит ао;D;20060809;000000;739;742;739;742;400;0
Магнит ао;D;20060814;000000;745;745;745;745;200;0
Магнит ао;D;20060815;000000;738;744;737;744;1300;0
Магнит ао;D;20060816;000000;739;743;739;743;500;0
Магнит ао;D;20060817;000000;741;741;737;737;400;0
Магнит ао;D;20060818;000000;737;737;737;737;100;0
Магнит ао;D;20060821;000000;740;745;740;745;900;0
