<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
НЛМК ао;D;20060418;000000;63;63.3;63;63.2;7600;0
НЛМК ао;D;20060419;000000;63.2;68.2;63.2;66;49800;0
НЛМК ао;D;20060420;000000;69.8;69.8;62.1;65;8300;0
НЛМК ао;D;20060421;000000;65;65.5;64.9;65.5;24300;0
НЛМК ао;D;20060424;000000;65.5;65.5;63;63;19900;0
НЛМК ао;D;20060425;000000;65;65;63.5;65;36100;0
НЛМК ао;D;20060426;000000;65;68.9;63.3;65;58000;0
НЛМК ао;D;20060427;000000;63.7;64;62.1;62.1;70700;0
НЛМК ао;D;20060428;000000;66;66;63.5;63.7;2600;0
НЛМК ао;D;20060502;000000;62.6;63.7;62.5;63;3600;0
НЛМК ао;D;20060503;000000;63.5;65;63.5;64.7;10400;0
НЛМК ао;D;20060504;000000;63.9;63.9;63;63.5;10400;0
НЛМК ао;D;20060505;000000;63.5;63.9;63.5;63.9;6900;0
НЛМК ао;D;20060506;000000;63.6;63.6;63;63.2;21200;0
НЛМК ао;D;20060510;000000;63.1;64.1;62;64.1;3500;0
НЛМК ао;D;20060511;000000;64.9;67.9;64.4;67.8;109900;0
НЛМК ао;D;20060512;000000;69.2;70.1;66;66.5;64900;0
НЛМК ао;D;20060515;000000;65.1;65.1;63.5;63.5;66500;0
НЛМК ао;D;20060516;000000;64.9;64.9;63;63.5;5700;0
НЛМК ао;D;20060517;000000;64.5;68;64.5;64.5;5100;0
НЛМК ао;D;20060518;000000;61;67.9;61;64.5;3400;0
НЛМК ао;D;20060519;000000;65.5;65.5;60;62;22700;0
НЛМК ао;D;20060522;000000;60;61.5;51.1;52;25600;0
НЛМК ао;D;20060523;000000;50;56.9;50;56.6;90500;0
НЛМК ао;D;20060524;000000;55.9;55.9;49.5;50;36900;0
НЛМК ао;D;20060525;000000;51.3;51.3;48.5;51.2;99200;0
НЛМК ао;D;20060526;000000;53;56;53;55.9;107400;0
НЛМК ао;D;20060529;000000;58.7;60;57;58.3;10300;0
НЛМК ао;D;20060530;000000;58.5;58.5;55.1;58.3;15300;0
НЛМК ао;D;20060531;000000;53.2;60.5;53.1;60.5;35100;0
НЛМК ао;D;20060601;000000;60.8;64;57;62.8;83900;0
НЛМК ао;D;20060602;000000;65;65;63;64.4;3800;0
