<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Новатэк ао;D;20060818;000000;133.35;133.35;127.01;127.11;28292;0
Новатэк ао;D;20060821;000000;132;132.13;125.01;130;237125;0
Новатэк ао;D;20060822;000000;127.7;133;127.7;131.5;87178;0
Новатэк ао;D;20060823;000000;131.5;139;129.01;135;183815;0
Новатэк ао;D;20060824;000000;134.01;139;133.5;137.5;107381;0
Новатэк ао;D;20060825;000000;140;140;136.01;137;218971;0
Новатэк ао;D;20060828;000000;136.98;138.68;134.1;136.99;62630;0
Новатэк ао;D;20060829;000000;136;137.5;133;135.99;102008;0
Новатэк ао;D;20060830;000000;135.98;136;131.06;131.9;96085;0
Новатэк ао;D;20060831;000000;131.9;132.79;129;129.39;70643;0
Новатэк ао;D;20060901;000000;130;130.01;127;128;104009;0
Новатэк ао;D;20060904;000000;130.98;130.98;127.25;129;53012;0
Новатэк ао;D;20060905;000000;129.99;129.99;128.87;129.6;30796;0
Новатэк ао;D;20060906;000000;130;130;128.5;129;21578;0
Новатэк ао;D;20060907;000000;129;129;124;127;73694;0
Новатэк ао;D;20060908;000000;125;130.2;125;129;8702;0
Новатэк ао;D;20060911;000000;128.99;128.99;125;126.49;41137;0
Новатэк ао;D;20060912;000000;125.5;131.96;123.5;123.65;103643;0
Новатэк ао;D;20060913;000000;124.5;129;120.67;124.36;19201;0
Новатэк ао;D;20060914;000000;125;127.49;125;125.5;76090;0
Новатэк ао;D;20060915;000000;121.1;126.99;121.1;123.5;62441;0
Новатэк ао;D;20060918;000000;126.99;126.99;122.22;124;15302;0
Новатэк ао;D;20060919;000000;125.79;125.92;123.08;123.88;72576;0
Новатэк ао;D;20060920;000000;123.73;123.8;118.02;120.78;50499;0
Новатэк ао;D;20060921;000000;122.03;122.03;118.6;121.5;30749;0
Новатэк ао;D;20060922;000000;118.62;121.49;114.05;120.89;36974;0
Новатэк ао;D;20060925;000000;117;120.99;115.8;116.2;22571;0
Новатэк ао;D;20060926;000000;116.2;124.99;116.2;123.15;42052;0
Новатэк ао;D;20060927;000000;124.99;127;122.95;123.1;8768;0
Новатэк ао;D;20060928;000000;126.99;136.33;123.01;134.99;219424;0
Новатэк ао;D;20060929;000000;133;139;130.5;133.5;78072;0
Новатэк ао;D;20061002;000000;134.99;142;133;138;96081;0
Новатэк ао;D;20061003;000000;138.05;138.05;132;133.99;29359;0
Новатэк ао;D;20061004;000000;131.11;139;130.01;135.92;74649;0
Новатэк ао;D;20061005;000000;137;142;137;139.5;118464;0
Новатэк ао;D;20061006;000000;136.04;140;136.04;139.99;46449;0
Новатэк ао;D;20061009;000000;138.04;157.5;136.03;156.9;66618;0
Новатэк ао;D;20061010;000000;159.98;170;147.15;149;63860;0
