<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Русагро;D;20250217;000000;216.34;216.34;210.1;216.34;6354581;0
Русагро;D;20250218;000000;211.4;236;210;210.5;10164860;0
Русагро;D;20250219;000000;208.12;225;207.52;221.92;6296243;0
Русагро;D;20250220;000000;222.02;227.5;217.06;219.52;3342203;0
Русагро;D;20250221;000000;221.52;221.52;215.12;219.02;1649652;0
Русагро;D;20250224;000000;220;233.68;220;233;3515021;0
Русагро;D;20250225;000000;234.5;234.5;230;230.2;1679330;0
Русагро;D;20250226;000000;233.1;244.5;227.04;239.96;7396660;0
Русагро;D;20250227;000000;238.9;242;234.12;235.4;2131381;0
Русагро;D;20250228;000000;235.4;237.4;222.08;229.8;1842809;0
Русагро;D;20250303;000000;229.84;231.36;215.1;218.8;2718443;0
Русагро;D;20250304;000000;225.2;230.4;221.16;227.12;2314782;0
Русагро;D;20250305;000000;227.12;234.3;224.86;233.32;988327;0
Русагро;D;20250306;000000;233.4;239.92;227.5;230.78;818906;0
Русагро;D;20250307;000000;231.82;235.84;225.4;226;1014216;0
Русагро;D;20250310;000000;229.86;232.2;226.2;228;1041182;0
Русагро;D;20250311;000000;228;234;227;233;999445;0
Русагро;D;20250312;000000;232;235;230.34;233.46;842806;0
Русагро;D;20250313;000000;233.02;233.02;223.44;228.5;2089736;0
Русагро;D;20250314;000000;229.9;233.86;228.26;233.2;671311;0
Русагро;D;20250317;000000;235;237.9;232;234.9;1534187;0
Русагро;D;20250318;000000;234;236.58;227.52;231.72;1582327;0
Русагро;D;20250319;000000;231.72;232.72;227.34;231.6;1023666;0
Русагро;D;20250320;000000;231.8;237.7;228.4;229.92;1222578;0
Русагро;D;20250321;000000;231.72;231.72;226.12;226.82;803239;0
Русагро;D;20250324;000000;226.96;227.88;220.46;222.38;940643;0
Русагро;D;20250325;000000;223.24;228.9;219;226.18;1291788;0
Русагро;D;20250326;000000;230.5;231.5;180.1;182;94856734;0
Русагро;D;20250327;000000;175;177.78;156.32;166.1;84823386;0
Русагро;D;20250328;000000;162;169.7;150;151.98;35343312;0
Русагро;D;20250331;000000;153.1;158.24;140.3;147.02;42501755;0
Русагро;D;20250401;000000;149;162.84;147.6;156.34;50310856;0
Русагро;D;20250402;000000;152.74;160.44;152.56;155.02;14894983;0
Русагро;D;20250403;000000;158;158.6;147.02;148.06;7793175;0
Русагро;D;20250404;000000;150;151.9;140.2;141.5;9308778;0
Русагро;D;20250407;000000;130;137.24;124.88;130;12263687;0
Русагро;D;20250408;000000;134;136.94;130.72;130.84;7610470;0
Русагро;D;20250409;000000;130.84;132.2;119.1;122.84;12037071;0
Русагро;D;20250410;000000;134.9;135;125.24;125.88;9582686;0
Русагро;D;20250411;000000;126;133.48;125.5;128.14;7067223;0
Русагро;D;20250414;000000;128.14;133.98;127;128.28;6089387;0
Русагро;D;20250415;000000;128.28;129.98;125.62;127.94;2775642;0
Русагро;D;20250416;000000;127.92;128.18;125.54;126.94;3473101;0
Русагро;D;20250417;000000;127.4;133.6;126.16;130.5;14157822;0
Русагро;D;20250418;000000;129;130.44;126.88;127.92;3909848;0
Русагро;D;20250421;000000;128;137.48;127.1;136.5;13199853;0
Русагро;D;20250422;000000;137.4;142;133.9;138.2;20282932;0
Русагро;D;20250423;000000;138.4;147.96;129;136.7;64418896;0
Русагро;D;20250424;000000;135.7;136.94;132.72;134.02;10626955;0
Русагро;D;20250425;000000;133.92;136.86;133.4;134.48;6251898;0
Русагро;D;20250428;000000;134.62;139.8;133.02;134.6;9990719;0
Русагро;D;20250429;000000;135;135.02;131.54;132.1;2712079;0
Русагро;D;20250430;000000;131.5;134.38;129.6;133.72;4130373;0
Русагро;D;20250502;000000;133.62;134;130.5;131.64;1735731;0
Русагро;D;20250505;000000;131.9;132.66;125;126.42;3953047;0
Русагро;D;20250506;000000;127;128.86;125.52;127.2;2241408;0
Русагро;D;20250507;000000;127.22;130.5;127.02;128.76;1904026;0
Русагро;D;20250508;000000;129.1;131.42;128.68;129.8;2026255;0
Русагро;D;20250512;000000;129.84;136;128.8;135.4;5242580;0
Русагро;D;20250513;000000;135.98;141.98;135.52;139.16;17297658;0
Русагро;D;20250514;000000;140;140.58;120;130.62;29995395;0
Русагро;D;20250515;000000;129.9;130.74;125;129.6;8242393;0
Русагро;D;20250516;000000;129.1;131.02;126.8;130;3784603;0
Русагро;D;20250519;000000;129.96;132.22;128.74;129.22;4746411;0
Русагро;D;20250520;000000;129.54;130.2;125.32;127.1;6349179;0
Русагро;D;20250521;000000;127.12;128.38;121.1;121.9;6500920;0
Русагро;D;20250522;000000;122;122.5;118;118.04;6922553;0
Русагро;D;20250523;000000;118.4;119.48;114.1;114.82;4467704;0
Русагро;D;20250526;000000;114.5;114.5;107.1;108.4;8735765;0
Русагро;D;20250527;000000;108.36;109.48;105.18;108.26;5217235;0
Русагро;D;20250528;000000;108.26;115.5;108.12;114.34;7311353;0
Русагро;D;20250529;000000;114.7;115.22;108.5;109.2;12652618;0
Русагро;D;20250530;000000;109.98;112.86;108.1;110.12;4257935;0
Русагро;D;20250602;000000;110.5;111.34;107;109.32;3487164;0
Русагро;D;20250603;000000;109.5;111.96;109.38;110.68;3657978;0
Русагро;D;20250604;000000;110.68;111.62;109.52;110.42;3583672;0
Русагро;D;20250605;000000;110.42;112.6;110.04;111.36;2854664;0
Русагро;D;20250606;000000;112;112.12;107.2;108.04;2971918;0
Русагро;D;20250609;000000;108.1;109;106.3;107.36;2245762;0
Русагро;D;20250610;000000;107.5;108.96;105.16;106.5;3438838;0
Русагро;D;20250611;000000;106.6;108.8;106.06;106.74;2037793;0
Русагро;D;20250613;000000;106.92;107.86;106.56;106.8;598025;0
Русагро;D;20250616;000000;106.82;107.64;104.66;104.98;2592451;0
Русагро;D;20250617;000000;105.22;113.8;104.58;112.98;8950829;0
Русагро;D;20250618;000000;113.6;116.64;111.36;112.4;14030310;0
Русагро;D;20250619;000000;112.88;114.6;109.78;111.1;4908815;0
Русагро;D;20250620;000000;111.38;114.8;110.1;111.54;7146660;0
Русагро;D;20250623;000000;111.56;112.1;108.66;109.04;3167716;0
Русагро;D;20250624;000000;109.04;111.84;108.68;110.34;3796423;0
Русагро;D;20250625;000000;110.64;111.1;107.22;108.6;5869651;0
Русагро;D;20250626;000000;108.36;109.12;107.64;107.98;2058788;0
Русагро;D;20250627;000000;108;108.44;107.32;108;1715814;0
Русагро;D;20250630;000000;108;112.5;107.82;111.76;10036643;0
Русагро;D;20250701;000000;112;113.22;109.62;110.16;4659204;0
Русагро;D;20250702;000000;110.5;110.9;109;109.12;1938396;0
Русагро;D;20250703;000000;109.2;110.28;107;107.34;4513415;0
Русагро;D;20250704;000000;107.06;107.82;105.16;106.46;3648119;0
Русагро;D;20250707;000000;106.2;106.7;104.72;104.98;2716825;0
Русагро;D;20250708;000000;104.94;108.02;103.48;103.68;4998665;0
Русагро;D;20250709;000000;104;105.28;97.02;98.48;8136516;0
Русагро;D;20250710;000000;98.66;100.94;94.78;98.12;11018057;0
Русагро;D;20250711;000000;98;100.66;96;97.96;4882875;0
Русагро;D;20250714;000000;98;100.9;95.42;100.24;4323080;0
Русагро;D;20250715;000000;100.58;102.3;99.56;100.12;3628892;0
Русагро;D;20250716;000000;100.24;101.32;98.56;99.14;3382285;0
Русагро;D;20250717;000000;99;100.72;98.7;99.14;2344152;0
Русагро;D;20250718;000000;99.46;100.8;99;100.64;4256961;0
Русагро;D;20250721;000000;100.7;106.5;100.22;106.42;10507262;0
