<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СПБ Биржа;D;20211119;000000;1005.1;1104.3;875.6;936.4;1061849;0
СПБ Биржа;D;20211122;000000;938;969.8;910;969.4;412446;0
СПБ Биржа;D;20211123;000000;960;962.5;945.3;958;98786;0
СПБ Биржа;D;20211124;000000;959.8;1008.7;938;1007.8;224679;0
СПБ Биржа;D;20211125;000000;990;1050.1;980;1040.5;107351;0
СПБ Биржа;D;20211126;000000;1035;1070;991.4;1036;435589;0
СПБ Биржа;D;20211129;000000;1036;1036;997.8;1026.7;301776;0
СПБ Биржа;D;20211130;000000;1019.9;1029.4;979.9;997;186565;0
СПБ Биржа;D;20211201;000000;999.9;1015;975;1008.3;129165;0
СПБ Биржа;D;20211202;000000;1009.9;1009.9;976.6;983.5;167633;0
СПБ Биржа;D;20211203;000000;983.2;993;952;975;172654;0
СПБ Биржа;D;20211206;000000;974.8;974.8;940.4;973.1;70557;0
СПБ Биржа;D;20211207;000000;975;1004.5;960.7;1000;96032;0
СПБ Биржа;D;20211208;000000;1000;1024.8;975;1024.8;178986;0
СПБ Биржа;D;20211209;000000;1028.9;1034.9;1001.6;1011.9;109782;0
СПБ Биржа;D;20211210;000000;1009.7;1024.2;1006.6;1021.9;158219;0
СПБ Биржа;D;20211213;000000;1011.5;1050;994.3;1032;84640;0
СПБ Биржа;D;20211214;000000;1020;1047.6;1006.5;1025;112349;0
СПБ Биржа;D;20211215;000000;1017.1;1036.2;1017.1;1026.1;71504;0
СПБ Биржа;D;20211216;000000;1027.1;1027.1;1008.2;1018.9;122412;0
СПБ Биржа;D;20211217;000000;1022.2;1028.2;1013.1;1018.3;115507;0
СПБ Биржа;D;20211220;000000;1013.1;1019.8;990.1;998.1;73028;0
СПБ Биржа;D;20211221;000000;1003.9;1005.5;985;995.8;68220;0
СПБ Биржа;D;20211222;000000;988.5;995.2;980;987.3;43251;0
СПБ Биржа;D;20211223;000000;993.1;996.4;947.8;982.9;271379;0
СПБ Биржа;D;20211224;000000;990;990;950.9;964;165072;0
СПБ Биржа;D;20211227;000000;967.9;972.2;955;967;56743;0
СПБ Биржа;D;20211228;000000;968.9;974.9;958.8;973;84678;0
СПБ Биржа;D;20211229;000000;970.4;997.8;965.4;977;47418;0
СПБ Биржа;D;20211230;000000;978.8;989.9;972.8;984;9302;0
СПБ Биржа;D;20220103;000000;989.6;998.2;982.3;993.8;14504;0
СПБ Биржа;D;20220104;000000;989.6;1005;985.3;1001;13727;0
СПБ Биржа;D;20220105;000000;987.5;1010;987.5;1005.2;8532;0
СПБ Биржа;D;20220106;000000;1000.2;1006.8;988.5;994.3;49709;0
СПБ Биржа;D;20220110;000000;988.5;988.5;971.3;974.9;21132;0
СПБ Биржа;D;20220111;000000;973.7;974;955;963;60036;0
СПБ Биржа;D;20220112;000000;966.9;966.9;940;945.4;59286;0
СПБ Биржа;D;20220113;000000;944.8;945.8;934.6;935.2;52420;0
СПБ Биржа;D;20220114;000000;930;939.4;884.9;909.4;74860;0
СПБ Биржа;D;20220117;000000;910.5;913.9;851;886;110976;0
СПБ Биржа;D;20220118;000000;866.6;885.2;830;859.7;297598;0
СПБ Биржа;D;20220119;000000;860;860;828.2;829.7;131998;0
СПБ Биржа;D;20220120;000000;844.8;844.8;790;814.4;161983;0
СПБ Биржа;D;20220121;000000;815;817;806.7;811.4;26503;0
СПБ Биржа;D;20220124;000000;811;818.1;734;745.1;101598;0
СПБ Биржа;D;20220125;000000;766.5;766.5;726.9;746;44588;0
СПБ Биржа;D;20220126;000000;760.1;762.1;744.1;753.5;22741;0
СПБ Биржа;D;20220127;000000;753.2;758;737;746.9;77440;0
СПБ Биржа;D;20220128;000000;746.3;770;733.8;739.8;45138;0
СПБ Биржа;D;20220131;000000;750.2;797;732.1;791;304291;0
СПБ Биржа;D;20220201;000000;793.1;797;760.8;778;162116;0
СПБ Биржа;D;20220202;000000;799.9;799.9;766;771;26438;0
СПБ Биржа;D;20220203;000000;775;775;746.3;755;20113;0
СПБ Биржа;D;20220204;000000;754;754.2;735;737.3;155360;0
СПБ Биржа;D;20220207;000000;740;740;729;733.2;21762;0
СПБ Биржа;D;20220208;000000;733;733;683.2;705.8;188369;0
СПБ Биржа;D;20220209;000000;710.4;735.3;695;705;335898;0
СПБ Биржа;D;20220210;000000;704.1;705.2;692.8;697.5;35562;0
СПБ Биржа;D;20220211;000000;696.5;711;675;692;67474;0
СПБ Биржа;D;20220214;000000;687.3;698;658.1;680.9;26544;0
СПБ Биржа;D;20220215;000000;680.3;692;670.8;680;106548;0
СПБ Биржа;D;20220216;000000;686;705;680.1;688.2;170149;0
СПБ Биржа;D;20220217;000000;661;694.9;661;680;31203;0
СПБ Биржа;D;20220218;000000;680;698.8;645;679;199133;0
СПБ Биржа;D;20220221;000000;666;680.1;577.9;604;88986;0
СПБ Биржа;D;20220222;000000;568;678.2;498;643.5;185278;0
СПБ Биржа;D;20220224;000000;600;645.9;334.2;470;44191;0
СПБ Биржа;D;20220225;000000;525.3;571.3;402;453;82039;0
СПБ Биржа;D;20220328;000000;410.2;424.6;290;309;135430;0
СПБ Биржа;D;20220329;000000;308.9;326.6;294;301.2;82351;0
СПБ Биржа;D;20220330;000000;330.1;370;313.3;353;122481;0
СПБ Биржа;D;20220331;000000;370;444.9;360;418.9;123215;0
СПБ Биржа;D;20220401;000000;450;450;395.7;410;84731;0
СПБ Биржа;D;20220404;000000;445;445;381;395;71918;0
СПБ Биржа;D;20220405;000000;401;425.8;362.5;383.9;71509;0
СПБ Биржа;D;20220406;000000;380;382.4;350;359.7;73272;0
СПБ Биржа;D;20220407;000000;350;366.9;338;338;66491;0
СПБ Биржа;D;20220408;000000;344;349.6;310.1;322;112155;0
СПБ Биржа;D;20220411;000000;326.5;335.2;316.2;316.9;30724;0
СПБ Биржа;D;20220412;000000;325.4;325.4;303;310.9;25803;0
СПБ Биржа;D;20220413;000000;324.1;324.1;298.5;305.5;59134;0
СПБ Биржа;D;20220414;000000;336;382;317.1;373.7;639205;0
СПБ Биржа;D;20220415;000000;378.2;399;353;357.1;358959;0
СПБ Биржа;D;20220418;000000;375;375;320.5;324.9;113871;0
СПБ Биржа;D;20220419;000000;327;327;302.1;311;126089;0
СПБ Биржа;D;20220420;000000;309;313;297.2;305;129079;0
СПБ Биржа;D;20220421;000000;309.2;309.2;295;297;61257;0
СПБ Биржа;D;20220422;000000;292;295;280;287.6;71009;0
СПБ Биржа;D;20220425;000000;275.2;287.4;268.3;275;61446;0
СПБ Биржа;D;20220426;000000;274.1;286;270.3;275;84412;0
СПБ Биржа;D;20220427;000000;276;290;270.6;284.4;109608;0
СПБ Биржа;D;20220428;000000;299;328.8;284;285;338891;0
СПБ Биржа;D;20220429;000000;285;293.9;276;283.6;113218;0
СПБ Биржа;D;20220504;000000;291;291;269.5;271.6;81880;0
СПБ Биржа;D;20220505;000000;279;279;255;264.7;99132;0
СПБ Биржа;D;20220506;000000;266;268;250.6;254.9;141765;0
СПБ Биржа;D;20220511;000000;255.5;257.4;247.7;252;79122;0
СПБ Биржа;D;20220512;000000;252.3;252.3;235.5;242;71598;0
СПБ Биржа;D;20220513;000000;242.9;242.9;229.8;238.5;43573;0
СПБ Биржа;D;20220516;000000;238.5;243.3;230;239.1;41515;0
СПБ Биржа;D;20220517;000000;241.2;246.7;240;241;99841;0
СПБ Биржа;D;20220518;000000;244.5;258.5;241.7;254.6;195349;0
СПБ Биржа;D;20220519;000000;251.3;252.1;239.7;245.9;107170;0
СПБ Биржа;D;20220520;000000;246.8;248;232;234.9;104995;0
СПБ Биржа;D;20220523;000000;237.9;238;218.9;219.5;105540;0
СПБ Биржа;D;20220524;000000;219.5;223;206.8;215.1;69412;0
СПБ Биржа;D;20220525;000000;219.2;219.9;199.1;210.1;147580;0
СПБ Биржа;D;20220526;000000;210;236;205.2;233.5;96170;0
СПБ Биржа;D;20220527;000000;234;242;228.4;237.8;82214;0
СПБ Биржа;D;20220530;000000;239.7;239.9;215;219;90078;0
СПБ Биржа;D;20220531;000000;217;221.5;206;215.1;84602;0
СПБ Биржа;D;20220601;000000;216.9;229.5;212.1;224;51077;0
СПБ Биржа;D;20220602;000000;224.6;234;216;217.2;83745;0
СПБ Биржа;D;20220603;000000;218.2;221.1;197.1;207;116146;0
СПБ Биржа;D;20220606;000000;208;208;195.2;204;92988;0
СПБ Биржа;D;20220607;000000;204;207;199;203;46717;0
СПБ Биржа;D;20220608;000000;203;207.7;199.1;201.2;40539;0
СПБ Биржа;D;20220609;000000;203.9;203.9;197;200.5;33558;0
СПБ Биржа;D;20220610;000000;200;201.9;190.1;194;55204;0
СПБ Биржа;D;20220614;000000;186;196;186;190.8;62908;0
СПБ Биржа;D;20220615;000000;190.8;196.5;187;190.7;239960;0
СПБ Биржа;D;20220616;000000;209.8;257;203.1;207.6;794845;0
СПБ Биржа;D;20220617;000000;212.9;212.9;198.2;207;305898;0
СПБ Биржа;D;20220620;000000;209.5;209.5;198.8;200.8;240976;0
СПБ Биржа;D;20220621;000000;202;202;189.8;190;386356;0
СПБ Биржа;D;20220622;000000;190.8;192.6;176.2;178;551507;0
СПБ Биржа;D;20220623;000000;177.7;178.4;168.8;171.1;495332;0
СПБ Биржа;D;20220624;000000;173;179.3;169.7;172.3;404433;0
СПБ Биржа;D;20220627;000000;173.5;174;168.2;172;219761;0
СПБ Биржа;D;20220628;000000;172.8;177;170.2;172.6;196399;0
СПБ Биржа;D;20220629;000000;175;180.3;171;175;197009;0
СПБ Биржа;D;20220630;000000;177.9;178.9;164.4;167;310182;0
СПБ Биржа;D;20220701;000000;167;172.7;165;166.3;112459;0
СПБ Биржа;D;20220704;000000;168;169.9;159.6;160.8;175285;0
СПБ Биржа;D;20220705;000000;160;163.4;154.2;158.5;174729;0
СПБ Биржа;D;20220706;000000;158.7;166.3;150.2;156.2;202249;0
СПБ Биржа;D;20220707;000000;156.8;157;138.7;140.9;754322;0
СПБ Биржа;D;20220708;000000;143;147.4;139;141.5;428145;0
СПБ Биржа;D;20220711;000000;142.4;157;139.8;146.6;885628;0
СПБ Биржа;D;20220712;000000;148;148.1;131.2;137.1;552372;0
СПБ Биржа;D;20220713;000000;137;137.1;121.6;123.5;501354;0
СПБ Биржа;D;20220714;000000;124.6;125;118;120.4;306419;0
СПБ Биржа;D;20220715;000000;122;122.3;115;116.2;301248;0
СПБ Биржа;D;20220718;000000;117.4;130.4;116.5;118.5;758456;0
СПБ Биржа;D;20220719;000000;116.7;120.3;114;116.7;339523;0
СПБ Биржа;D;20220720;000000;117;117.3;89.6;100;1847752;0
СПБ Биржа;D;20220721;000000;100;101.8;92.8;99.5;486464;0
СПБ Биржа;D;20220722;000000;99.4;101.5;95.9;98.5;333560;0
СПБ Биржа;D;20220725;000000;99.5;106.5;96.4;102;438295;0
СПБ Биржа;D;20220726;000000;104.1;108.6;103.2;104;455225;0
СПБ Биржа;D;20220727;000000;104.8;106.9;99.1;100;479437;0
СПБ Биржа;D;20220728;000000;100.7;102;98;98.5;427116;0
СПБ Биржа;D;20220729;000000;98.6;99.3;95.6;97;385737;0
СПБ Биржа;D;20220801;000000;96.9;98.8;90;92;996433;0
СПБ Биржа;D;20220802;000000;92;94;82;88;1197855;0
СПБ Биржа;D;20220803;000000;87.5;89.4;82.7;87.8;304030;0
