<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Самолет ао;D;20201029;000000;969;1053;908;953;210997;0
Самолет ао;D;20201030;000000;955;990;951.6;955;54402;0
Самолет ао;D;20201102;000000;955;958;952;957;16599;0
Самолет ао;D;20201103;000000;959.6;959.6;952;952.6;8985;0
Самолет ао;D;20201105;000000;959;959;944.8;952.8;15505;0
Самолет ао;D;20201106;000000;958.2;958.2;950.6;952;9682;0
Самолет ао;D;20201109;000000;952;954.2;940.6;942;14891;0
Самолет ао;D;20201110;000000;940.2;951;935;950;12696;0
Самолет ао;D;20201111;000000;950.8;950.8;940.2;948;9998;0
Самолет ао;D;20201112;000000;950;950.6;941;947;3810;0
Самолет ао;D;20201113;000000;947;950;941;947;6267;0
Самолет ао;D;20201116;000000;949.8;951;941.2;948.4;12746;0
Самолет ао;D;20201117;000000;942;950.8;941.2;947.6;5005;0
Самолет ао;D;20201118;000000;948;948;940;947;10422;0
Самолет ао;D;20201119;000000;949.6;949.6;942.8;946.2;3687;0
Самолет ао;D;20201120;000000;946.2;949.6;942.2;943.2;3896;0
Самолет ао;D;20201123;000000;949.4;949.6;941.2;946.2;8916;0
Самолет ао;D;20201124;000000;942.4;948;941.2;947.8;5497;0
Самолет ао;D;20201125;000000;949;950;941.2;949;14179;0
Самолет ао;D;20201126;000000;948.2;949.6;941.2;945;6659;0
Самолет ао;D;20201127;000000;948.8;948.8;941.8;946.8;7648;0
Самолет ао;D;20201130;000000;948.4;948.4;942.2;944;2344;0
Самолет ао;D;20201201;000000;942;948.4;940;945;5640;0
Самолет ао;D;20201202;000000;941.4;946.6;941.2;946;7150;0
Самолет ао;D;20201203;000000;942.2;946;941.2;942.6;6730;0
Самолет ао;D;20201204;000000;941.2;944;941;943.8;6791;0
Самолет ао;D;20201207;000000;941.6;944.4;933;935.6;17152;0
Самолет ао;D;20201208;000000;942;942;930;935;5705;0
Самолет ао;D;20201209;000000;940;946;931;940.8;6474;0
Самолет ао;D;20201210;000000;945;945;935;939;7900;0
Самолет ао;D;20201211;000000;939;943.8;932;936;2306;0
Самолет ао;D;20201214;000000;940;959.4;934.8;952.2;22428;0
Самолет ао;D;20201215;000000;952;970;932;967;18436;0
Самолет ао;D;20201216;000000;967;967;955.6;959.8;18274;0
Самолет ао;D;20201217;000000;963;963;952.2;954;9040;0
Самолет ао;D;20201218;000000;957.6;957.6;935;955;11896;0
Самолет ао;D;20201221;000000;945.6;953;939;944.4;19114;0
Самолет ао;D;20201222;000000;941;955;936;950.2;8513;0
Самолет ао;D;20201223;000000;950.4;960;949;950;2543;0
Самолет ао;D;20201224;000000;949.6;953.4;945.8;950.2;2126;0
Самолет ао;D;20201225;000000;947;967;947;959.2;8025;0
