<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СевСт-ао;D;20050622;000000;220;220;217;219;6400;0
СевСт-ао;D;20050623;000000;219;230;219;223;4300;0
СевСт-ао;D;20050624;000000;225;227;216;216;1800;0
СевСт-ао;D;20050627;000000;213.5;213.5;211;211;600;0
СевСт-ао;D;20050628;000000;214;216;208;208;4300;0
СевСт-ао;D;20050629;000000;207.01;210;207;209;1600;0
СевСт-ао;D;20050630;000000;209.2;217.4;208;208;600;0
СевСт-ао;D;20050701;000000;208;210;207;210;14800;0
СевСт-ао;D;20050704;000000;215.9;217;211.01;212;13200;0
СевСт-ао;D;20050705;000000;212.5;216;212.5;216;4600;0
СевСт-ао;D;20050706;000000;220;225.95;219;225.95;7700;0
СевСт-ао;D;20050707;000000;225;228.9;224;225;31600;0
СевСт-ао;D;20050708;000000;230;230;227.55;229.99;4400;0
СевСт-ао;D;20050711;000000;233.5;233.5;230;230;12200;0
СевСт-ао;D;20050712;000000;229.8;230;226.01;230;13000;0
СевСт-ао;D;20050713;000000;230.01;234;229.51;234;3700;0
СевСт-ао;D;20050714;000000;231;234;230.5;230.5;1300;0
СевСт-ао;D;20050715;000000;229;229;227.61;227.81;2200;0
СевСт-ао;D;20050718;000000;226.5;229.4;226.5;229.4;600;0
СевСт-ао;D;20050719;000000;230;231;230;231;300;0
СевСт-ао;D;20050720;000000;229;233;229;232.51;3400;0
СевСт-ао;D;20050721;000000;232.81;236;231;231;3600;0
СевСт-ао;D;20050722;000000;233;236;232;236;6600;0
СевСт-ао;D;20050725;000000;239.85;243;239.85;242;4000;0
СевСт-ао;D;20050726;000000;242;244;239;240;9400;0
СевСт-ао;D;20050727;000000;238.5;248;238.5;245;11500;0
СевСт-ао;D;20050728;000000;250;250;241;246;3200;0
СевСт-ао;D;20050729;000000;246;246;240;240.9;5700;0
СевСт-ао;D;20050801;000000;241;243;237.51;243;4700;0
СевСт-ао;D;20050802;000000;240.15;244;240.15;244;15000;0
СевСт-ао;D;20050803;000000;243;247;242;242;7400;0
СевСт-ао;D;20050804;000000;243;246.99;243;245;800;0
СевСт-ао;D;20050805;000000;243;243.5;241.31;243;10400;0
СевСт-ао;D;20050808;000000;242;242.01;239;239;8600;0
СевСт-ао;D;20050809;000000;240;244.5;240;243.2;4600;0
СевСт-ао;D;20050810;000000;249.98;250;243.7;243.7;700;0
СевСт-ао;D;20050811;000000;243.33;243.33;241.1;241.1;600;0
СевСт-ао;D;20050812;000000;241;243;241;243;1200;0
СевСт-ао;D;20050815;000000;240;243;238.5;238.5;6000;0
СевСт-ао;D;20050816;000000;243;245.9;242.01;245;3800;0
СевСт-ао;D;20050817;000000;245;245.85;245;245.1;3700;0
СевСт-ао;D;20050818;000000;245.04;248.9;244;248;5800;0
СевСт-ао;D;20050819;000000;247.65;248.5;243.9;246;8200;0
СевСт-ао;D;20050822;000000;250;250;244.1;248;5800;0
СевСт-ао;D;20050823;000000;248;248;244.81;244.81;1300;0
СевСт-ао;D;20050824;000000;244.8;244.8;244;244;300;0
СевСт-ао;D;20050825;000000;244;246;244;245.1;3600;0
СевСт-ао;D;20050826;000000;244.5;244.5;241.01;241.01;7500;0
СевСт-ао;D;20050829;000000;242.5;243;228.96;241;8100;0
СевСт-ао;D;20050830;000000;244;245.4;240;240;15300;0
СевСт-ао;D;20050831;000000;240;240;236;236.5;5400;0
СевСт-ао;D;20050901;000000;235.1;238;232.22;236;8300;0
СевСт-ао;D;20050902;000000;235.01;238.5;234;234;3100;0
СевСт-ао;D;20050905;000000;234.5;238;234;234;3500;0
СевСт-ао;D;20050906;000000;231;237.5;231;233.11;15200;0
СевСт-ао;D;20050907;000000;233;233;227;231;7800;0
СевСт-ао;D;20050908;000000;231.9;234.99;231.9;234.99;1200;0
СевСт-ао;D;20050909;000000;233;237.9;232.78;237.9;4200;0
СевСт-ао;D;20050912;000000;238.5;245;238.5;241;10200;0
СевСт-ао;D;20050913;000000;240;246.05;240;246;1600;0
СевСт-ао;D;20050914;000000;240;246.99;236;246.99;8200;0
СевСт-ао;D;20050915;000000;245;247.77;244;247.77;1400;0
СевСт-ао;D;20050916;000000;247;250;247;247;7100;0
СевСт-ао;D;20050919;000000;246.5;253.99;246.5;253.99;2000;0
СевСт-ао;D;20050920;000000;260;265;250;257;4700;0
СевСт-ао;D;20050921;000000;254;257;250;257;5400;0
СевСт-ао;D;20050922;000000;258;262.3;253.1;261;5300;0
СевСт-ао;D;20050926;000000;256.55;262.9;256.55;258.01;8500;0
СевСт-ао;D;20050927;000000;260;270;260;266;10100;0
СевСт-ао;D;20050928;000000;269;270;265.12;265.12;5300;0
СевСт-ао;D;20050929;000000;279;279.1;263.9;269.99;2400;0
СевСт-ао;D;20050930;000000;272;280;272;279;11800;0
СевСт-ао;D;20051003;000000;278;284.9;278;280;8300;0
СевСт-ао;D;20051004;000000;282;289.9;275;276.5;37900;0
СевСт-ао;D;20051005;000000;280;280;270.01;270.01;14800;0
СевСт-ао;D;20051006;000000;266;266;258;264.79;10800;0
СевСт-ао;D;20051007;000000;257.1;265;257;265;6500;0
СевСт-ао;D;20051010;000000;266;273.5;266;273.5;9100;0
СевСт-ао;D;20051011;000000;268.51;274;268.51;274;700;0
СевСт-ао;D;20051012;000000;271.2;272.9;263.51;263.51;4100;0
СевСт-ао;D;20051013;000000;257;268;255.1;267;800;0
СевСт-ао;D;20051014;000000;277;277;259;259;3000;0
СевСт-ао;D;20051017;000000;259;259;259;259;100;0
СевСт-ао;D;20051018;000000;274.2;274.2;258.01;258.01;14500;0
СевСт-ао;D;20051019;000000;259.5;263;249.97;260;24500;0
СевСт-ао;D;20051020;000000;255;258;252.11;252.12;500;0
СевСт-ао;D;20051021;000000;252;257;242;246.5;19900;0
СевСт-ао;D;20051024;000000;249.95;252;246.01;251.9;11800;0
СевСт-ао;D;20051025;000000;254.5;266;243;247;41400;0
СевСт-ао;D;20051026;000000;248;248;244;247;6600;0
СевСт-ао;D;20051027;000000;246;252;246;252;900;0
СевСт-ао;D;20051028;000000;251.99;251.99;250;251.99;1900;0
СевСт-ао;D;20051031;000000;251;253.8;250;253.8;1000;0
СевСт-ао;D;20051101;000000;255.3;258.99;254.1;256;4900;0
СевСт-ао;D;20051102;000000;262.9;263.85;260;263.85;6000;0
СевСт-ао;D;20051103;000000;263.99;270;263;263;8300;0
СевСт-ао;D;20051107;000000;265;269.86;252;266;5700;0
СевСт-ао;D;20051108;000000;265.7;270;262;264.5;6300;0
СевСт-ао;D;20051109;000000;265;275;261.5;261.5;15200;0
СевСт-ао;D;20051110;000000;262;262.3;259.5;259.5;13000;0
СевСт-ао;D;20051111;000000;260;262.3;259.5;259.5;8000;0
СевСт-ао;D;20051114;000000;260.52;267.9;260.52;265;1400;0
СевСт-ао;D;20051115;000000;269.7;277;266.5;271;13300;0
СевСт-ао;D;20051116;000000;269;274;265.3;266.8;5400;0
СевСт-ао;D;20051117;000000;262.72;270;261;269;8400;0
