<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Совкомбанк;D;20231215;000000;14.6;14.9;12.33;12.505;235374000;0
Совкомбанк;D;20231218;000000;12.6;13.1;12.55;12.9;122471200;0
Совкомбанк;D;20231219;000000;12.925;13.06;12.55;12.61;40704700;0
Совкомбанк;D;20231220;000000;12.64;12.905;12.55;12.805;30497500;0
Совкомбанк;D;20231221;000000;12.805;13.29;12.71;13.16;52074600;0
Совкомбанк;D;20231222;000000;13.24;13.795;13.16;13.71;55191300;0
Совкомбанк;D;20231225;000000;13.8;14.335;13.31;13.5;53860800;0
Совкомбанк;D;20231226;000000;13.75;13.765;13.4;13.52;16156300;0
Совкомбанк;D;20231227;000000;13.65;13.7;13.505;13.655;15586800;0
Совкомбанк;D;20231228;000000;13.66;13.9;13.5;13.605;28859900;0
Совкомбанк;D;20231229;000000;13.665;13.785;13.6;13.7;9784100;0
Совкомбанк;D;20240103;000000;13.71;14.3;13.71;14.245;15686700;0
Совкомбанк;D;20240104;000000;14.5;14.5;14.045;14.155;9865300;0
Совкомбанк;D;20240105;000000;14.195;14.3;14.05;14.185;6228600;0
Совкомбанк;D;20240108;000000;14.18;14.46;14.135;14.315;13652800;0
Совкомбанк;D;20240109;000000;14.39;14.39;14.105;14.15;12704800;0
Совкомбанк;D;20240110;000000;14.19;14.4;14.135;14.2;20891800;0
Совкомбанк;D;20240111;000000;14.34;14.34;13.7;13.995;24124100;0
Совкомбанк;D;20240112;000000;14;14.08;13.705;13.81;23023400;0
Совкомбанк;D;20240115;000000;13.85;13.96;13.76;13.805;13083600;0
Совкомбанк;D;20240116;000000;13.805;13.86;13.56;13.755;20835400;0
Совкомбанк;D;20240117;000000;13.795;13.9;13.63;13.85;15155000;0
Совкомбанк;D;20240118;000000;13.9;13.9;13.7;13.7;9904100;0
Совкомбанк;D;20240119;000000;13.765;13.78;13.5;13.7;13604100;0
Совкомбанк;D;20240122;000000;13.71;14.045;13.635;13.9;24588100;0
Совкомбанк;D;20240123;000000;14.1;14.95;13.935;14.895;132442400;0
Совкомбанк;D;20240124;000000;14.97;15.59;14.66;14.78;164047600;0
Совкомбанк;D;20240125;000000;14.88;15.19;14.6;14.975;45665400;0
Совкомбанк;D;20240126;000000;15.13;15.34;14.83;14.965;41773600;0
Совкомбанк;D;20240129;000000;15;15.165;14.875;15.05;25012600;0
Совкомбанк;D;20240130;000000;15.105;15.6;15.05;15.28;68644700;0
Совкомбанк;D;20240131;000000;15.42;15.835;15.235;15.465;64351200;0
Совкомбанк;D;20240201;000000;15.56;15.67;15.315;15.34;27503500;0
Совкомбанк;D;20240202;000000;15.34;15.4;15.02;15.3;30495100;0
Совкомбанк;D;20240205;000000;15.37;15.475;15.22;15.405;27669400;0
Совкомбанк;D;20240206;000000;15.445;16.165;15.415;16.065;61259500;0
Совкомбанк;D;20240207;000000;16.07;18.25;16.065;17.69;347733900;0
Совкомбанк;D;20240208;000000;17.795;18.94;17.78;18.06;263518900;0
Совкомбанк;D;20240209;000000;18.3;18.3;17.07;17.355;113769800;0
Совкомбанк;D;20240212;000000;17.4;17.48;16.855;17.21;55526300;0
Совкомбанк;D;20240213;000000;17.25;17.97;17.22;17.8;87905900;0
Совкомбанк;D;20240214;000000;17.9;17.955;17.445;17.54;31862700;0
Совкомбанк;D;20240215;000000;17.585;17.76;17.2;17.51;39025000;0
Совкомбанк;D;20240216;000000;17.6;17.875;17.285;17.48;72599400;0
Совкомбанк;D;20240219;000000;18.575;18.86;17.8;18.85;221001600;0
Совкомбанк;D;20240220;000000;18.865;19.15;17.67;18.25;138571800;0
Совкомбанк;D;20240221;000000;18.2;18.45;17.7;18.19;84738500;0
Совкомбанк;D;20240222;000000;18.2;18.35;18.005;18.17;39798400;0
Совкомбанк;D;20240226;000000;18.3;18.78;18.27;18.645;52137800;0
Совкомбанк;D;20240227;000000;18.76;18.76;18.25;18.475;33259300;0
Совкомбанк;D;20240228;000000;18.525;18.525;18.07;18.285;28203200;0
Совкомбанк;D;20240229;000000;18.32;18.58;18.225;18.475;38746400;0
Совкомбанк;D;20240301;000000;18.475;19.3;18.475;19.28;158723800;0
Совкомбанк;D;20240304;000000;19.385;19.48;18.92;19.17;96795200;0
Совкомбанк;D;20240305;000000;19.2;19.33;18.92;19.28;33942000;0
Совкомбанк;D;20240306;000000;19.35;19.695;19.155;19.565;74222000;0
Совкомбанк;D;20240307;000000;19.62;19.815;19.5;19.59;56524200;0
Совкомбанк;D;20240311;000000;19.695;19.77;18.58;19.4;49216400;0
Совкомбанк;D;20240312;000000;19.45;19.45;18.6;19.215;45409900;0
Совкомбанк;D;20240313;000000;19.265;19.44;19.1;19.175;28328500;0
Совкомбанк;D;20240314;000000;19.18;19.225;18.66;19.03;45681800;0
Совкомбанк;D;20240315;000000;19.225;19.295;18.86;18.97;35708000;0
Совкомбанк;D;20240318;000000;19.06;19.47;18.65;19.32;55892200;0
Совкомбанк;D;20240319;000000;19.3;19.44;18.8;19.06;38955700;0
Совкомбанк;D;20240320;000000;19.125;19.165;18.735;18.865;24715200;0
Совкомбанк;D;20240321;000000;18.95;19.115;18.815;19.1;17555600;0
Совкомбанк;D;20240322;000000;19.155;19.225;18.45;18.79;38661700;0
Совкомбанк;D;20240325;000000;18.77;19;18.655;18.905;21496100;0
Совкомбанк;D;20240326;000000;18.91;19.175;18.88;19.03;17292700;0
Совкомбанк;D;20240327;000000;19.05;19.085;18.77;18.94;12169600;0
Совкомбанк;D;20240328;000000;18.965;18.98;18.81;18.955;13051200;0
Совкомбанк;D;20240329;000000;18.97;19.445;18.97;19.35;47889700;0
Совкомбанк;D;20240401;000000;19.3;20;19.3;19.905;86280800;0
Совкомбанк;D;20240402;000000;19.91;19.95;19.58;19.76;28718100;0
Совкомбанк;D;20240403;000000;19.78;20.3;19.71;20.255;96927200;0
Совкомбанк;D;20240404;000000;20.255;20.26;19.955;20.05;25923800;0
Совкомбанк;D;20240405;000000;20.05;20.17;19.815;19.98;19276900;0
Совкомбанк;D;20240408;000000;20;20.05;19.86;20.01;16881600;0
Совкомбанк;D;20240409;000000;20.02;20.02;19.505;19.685;31837300;0
Совкомбанк;D;20240410;000000;19.695;19.95;19.42;19.545;26101900;0
Совкомбанк;D;20240411;000000;19.58;19.68;19.21;19.285;20254300;0
Совкомбанк;D;20240412;000000;19.285;19.445;19.16;19.23;20158400;0
Совкомбанк;D;20240415;000000;19.3;19.615;19.25;19.41;21926800;0
Совкомбанк;D;20240416;000000;19.455;19.49;19.225;19.27;10446300;0
Совкомбанк;D;20240417;000000;19.37;19.37;19.1;19.145;10991300;0
Совкомбанк;D;20240418;000000;19.12;19.15;18.86;19.08;16485900;0
Совкомбанк;D;20240419;000000;19.1;19.19;18.94;19.165;10629000;0
Совкомбанк;D;20240422;000000;19.17;19.4;19.035;19.125;16949100;0
Совкомбанк;D;20240423;000000;19.185;19.25;18.92;18.985;13243500;0
Совкомбанк;D;20240424;000000;18.99;19.115;18.84;19.035;11485100;0
Совкомбанк;D;20240425;000000;19.055;19.145;18.92;19.07;10165200;0
Совкомбанк;D;20240426;000000;19.07;19.19;19;19.075;12909700;0
Совкомбанк;D;20240427;000000;19.085;19.25;19.045;19.14;11597300;0
Совкомбанк;D;20240429;000000;19.14;19.175;19.015;19.15;5671500;0
Совкомбанк;D;20240430;000000;19.18;19.18;19.02;19.05;5303000;0
Совкомбанк;D;20240502;000000;19.03;19.065;18.875;18.935;6828800;0
Совкомбанк;D;20240503;000000;19;19;18.035;18.61;79383100;0
Совкомбанк;D;20240506;000000;18.515;18.545;18.225;18.265;22266600;0
Совкомбанк;D;20240507;000000;18.265;18.89;18.22;18.65;27636900;0
Совкомбанк;D;20240508;000000;18.8;19.29;18.55;19.24;30784400;0
Совкомбанк;D;20240510;000000;19.235;19.71;19.195;19.695;27182600;0
Совкомбанк;D;20240513;000000;19.9;20.245;19.875;20.2;52600500;0
Совкомбанк;D;20240514;000000;20.34;20.495;19.715;19.8;63717000;0
Совкомбанк;D;20240515;000000;19.795;19.965;19.4;19.82;50192700;0
Совкомбанк;D;20240516;000000;19.38;19.65;18.8;19.36;126112700;0
Совкомбанк;D;20240517;000000;19.36;19.445;19.005;19.24;19859500;0
Совкомбанк;D;20240520;000000;19.3;19.3;18.58;18.825;40621900;0
Совкомбанк;D;20240521;000000;18.99;19.2;18.8;18.975;14972600;0
Совкомбанк;D;20240522;000000;19.03;19.085;18.725;18.85;11257500;0
Совкомбанк;D;20240523;000000;18.995;18.995;18.49;18.74;19598300;0
Совкомбанк;D;20240524;000000;18.655;18.78;18.095;18.22;30363200;0
Совкомбанк;D;20240527;000000;18.22;18.375;17.65;17.935;36127200;0
Совкомбанк;D;20240528;000000;18.09;18.3;17.725;17.975;19116600;0
Совкомбанк;D;20240529;000000;18.03;18.105;17.565;18.065;27444700;0
Совкомбанк;D;20240530;000000;18.105;18.11;17.31;17.42;20742100;0
Совкомбанк;D;20240531;000000;17.43;17.695;16.565;17.06;46494700;0
Совкомбанк;D;20240603;000000;17.06;17.575;16.595;17.55;46890800;0
Совкомбанк;D;20240604;000000;17.61;18.4;17.345;18.305;38365700;0
Совкомбанк;D;20240605;000000;18.315;18.62;17.785;17.85;38290600;0
Совкомбанк;D;20240606;000000;17.845;18.04;17.52;17.76;15151900;0
Совкомбанк;D;20240607;000000;17.84;18.5;17.8;18.24;22270700;0
Совкомбанк;D;20240610;000000;18.2;18.48;17.9;18.055;19900100;0
Совкомбанк;D;20240611;000000;18.06;18.075;17.62;17.845;13646800;0
Совкомбанк;D;20240613;000000;17;18.1;16.38;17.985;25486700;0
Совкомбанк;D;20240614;000000;17.995;18.16;17.825;18.125;12050500;0
Совкомбанк;D;20240617;000000;18.12;18.18;17.72;17.82;9767100;0
Совкомбанк;D;20240618;000000;17.86;17.86;17.33;17.415;16836200;0
Совкомбанк;D;20240619;000000;17.48;17.49;16.65;16.76;29135200;0
Совкомбанк;D;20240620;000000;16.8;17.365;16.765;17.33;17881500;0
Совкомбанк;D;20240621;000000;17.395;17.595;17.11;17.165;9245900;0
Совкомбанк;D;20240624;000000;17;17.085;16.65;16.735;26557800;0
Совкомбанк;D;20240625;000000;16.74;17.115;16.42;17.07;23875300;0
Совкомбанк;D;20240626;000000;17.07;17.3;17.01;17.25;13614200;0
Совкомбанк;D;20240627;000000;17.3;17.3;16.85;16.95;12942200;0
Совкомбанк;D;20240628;000000;16.905;16.965;16.815;16.9;8847600;0
Совкомбанк;D;20240701;000000;16.91;17.1;16.755;16.885;17955600;0
Совкомбанк;D;20240702;000000;16.9;16.93;16.635;16.79;24393400;0
Совкомбанк;D;20240703;000000;16.8;16.845;16.22;16.435;30806300;0
Совкомбанк;D;20240704;000000;16.435;16.74;16.055;16.565;52401400;0
Совкомбанк;D;20240705;000000;16.54;16.8;16.31;16.6;32186200;0
Совкомбанк;D;20240708;000000;15.635;15.995;15.63;15.7;49756100;0
Совкомбанк;D;20240709;000000;15.7;15.7;14.76;15;73776900;0
Совкомбанк;D;20240710;000000;15;15.23;14.015;14.2;58592100;0
Совкомбанк;D;20240711;000000;14.3;15.32;14.2;15.045;129039600;0
Совкомбанк;D;20240712;000000;15.135;15.135;14.17;14.39;77553800;0
Совкомбанк;D;20240715;000000;14.42;14.45;13.68;14.06;96074400;0
Совкомбанк;D;20240716;000000;13.97;14.24;13.75;14.16;68351100;0
Совкомбанк;D;20240717;000000;14.145;14.355;14;14.09;40439800;0
Совкомбанк;D;20240718;000000;14.125;14.88;13.915;14.865;59999200;0
